iter	Logloss
0	0.6766174123
1	0.6598353789
2	0.6467686516
3	0.636463214
4	0.625958255
5	5	0.6184230252
6	0.6096291459
7	0.6006100519
8	0.5935094021
9	0.5857592832
10	0.5814133157
11	0.5757911668
12	0.5705005607
13	0.5659416604
14	0.5623954654
15	0.5586383681
16	0.5557985034
17	0.5530492739
18	0.550162742
19	0.5474565996
20	0.5459460361
21	0.5438087142
22	0.5422787663
23	0.5400248878
24	0.538077238
25	0.5359866103
26	0.5346826385
27	0.5330293123
28	0.5317765569
29	0.5304329241
30	0.5290305189
31	0.5277750294
32	0.5267903645
33	0.5257146915
34	0.5247484651
35	0.5236261825
36	0.5228743385
37	0.5219926215
38	0.5212927705
39	0.520475867
40	0.5199926826
41	0.5193442095
42	0.5186127997
43	0.5179208471
44	0.5174520713
45	0.516860371
46	0.5165096168
47	0.5159591157
48	0.5154980498
49	0.5151623194
50	0.5147280788
51	0.5142738769
52	0.51377698
53	0.5133109766
54	0.512986667
55	0.5127170037
56	0.512364673
57	0.5120241936
58	0.5114641291
59	0.5110898913
60	0.5106866865
61	0.5104662938
62	0.5103172439
63	0.5099330275
64	0.5096400498
65	0.50938706
66	0.5092852888
67	0.5090285383
68	0.5086501668
69	0.5084077978
70	0.5081742732
71	0.5080498875
72	0.5078656911
73	0.5076007422
74	0.507401272
75	0.5071183038
76	0.5069880885
77	0.5067458773
78	0.5065624538
79	0.506146094
80	0.505900768
81	0.5055188011
82	0.5052407626
83	0.504885594
84	0.5046305854
85	0.5043660903
86	0.5040924624
87	0.5039309075
88	0.5037385397
89	0.5034364678
90	0.5032294261
91	0.5031166533
92	0.5029248508
93	0.5027783466
94	0.5026481236
95	0.5023581915
96	0.5022137599
97	0.5020842791
98	0.501925016
99	0.5016763829
100	0.5014288228
101	0.5011980437
102	0.5011916989
103	0.5010866053
104	0.5009417584
105	0.500686423
106	0.5005380999
107	0.5004583511
108	0.5002554355
109	0.500083475
110	0.5000006922
111	0.499887135
112	0.4996919678
113	0.4995033838
114	0.4993677273
115	0.499066609
116	0.498862413
117	0.4987746196
118	0.4986208785
119	0.4983949023
120	0.4981227203
121	0.4979216774
122	0.4977324859
123	0.4975596217
124	0.4973561409
125	0.4973123807
126	0.4971602431
127	0.496957985
128	0.4968344145
129	0.4966946166
130	0.4965828436
131	0.4963599591
132	0.4960131041
133	0.4958694032
134	0.4957952609
135	0.4955789096
136	0.4954199964
137	0.4951890136
138	0.495109707
139	0.4949241262
140	0.4947198763
141	0.4945278315
142	0.4943886181
143	0.494210655
144	0.4939620874
145	0.4937503698
146	0.4935743486
147	0.4934388075
148	0.4932585257
149	0.4931011891
150	0.4929478363
151	0.4927717344
152	0.4925947288
153	0.4924292862
154	0.4922586716
155	0.4921334437
156	0.4919454289
157	0.4917101892
158	0.4916410459
159	0.491533449
160	0.4912747296
161	0.4911050879
162	0.4909327236
163	0.4908003626
164	0.4906114787
165	0.4904347
166	0.4902897493
167	0.4901266409
168	0.4898686444
169	0.4896438795
170	0.4893053151
171	0.4891705623
172	0.4889950218
173	0.4889375837
174	0.4888462373
175	0.4886812254
176	0.4884700692
177	0.4881529619
178	0.4879844469
179	0.4878657177
180	0.4876478744
181	0.4874904071
182	0.4871502507
183	0.486978671
184	0.4868285521
185	0.4866710309
186	0.4864219749
187	0.4862784393
188	0.4860712092
189	0.4858718698
190	0.4857552363
191	0.4855612497
192	0.485388424
193	0.4851871234
194	0.4850104255
195	0.4847686526
196	0.4846747759
197	0.4845452758
198	0.4843561958
199	0.4842645341
200	0.484008318
201	0.4837538247
202	0.4835726507
203	0.4833657014
204	0.4831171798
205	0.4829725752
206	0.482814085
207	0.4826142111
208	0.4823739725
209	0.4822363357
210	0.4820913235
211	0.4819716329
212	0.481831139
213	0.4815813101
214	0.4814864759
215	0.4813254708
216	0.481089912
217	0.4807326784
218	0.4805202494
219	0.4802714972
220	0.4801568287
221	0.4799856604
222	0.4797230302
223	0.4794879713
224	0.4791418316
225	0.4789807958
226	0.4787529315
227	0.4785848549
228	0.4783427666
229	0.4781856838
230	0.4779158898
231	0.4776390972
232	0.4774671214
233	0.4773014288
234	0.4771315948
235	0.4768898835
236	0.4766597774
237	0.4765019216
238	0.4761755547
239	0.4759984223
240	0.4757394298
241	0.4754695012
242	0.4752252096
243	0.475031246
244	0.4748557709
245	0.4745160337
246	0.4742558646
247	0.4740262276
248	0.473889083
249	0.4737168341
250	0.473544493
251	0.4732181722
252	0.4730169101
253	0.4728197549
254	0.4725415472
255	0.4722898571
256	0.4719205222
257	0.4717306808
258	0.4714933224
259	0.4713386429
260	0.4712037902
261	0.4709443671
262	0.4708160937
263	0.4704904997
264	0.4702652003
265	0.4700072269
266	0.4698109099
267	0.4696077367
268	0.4694699307
269	0.4692473038
270	0.4690307987
271	0.4687955667
272	0.4685778312
273	0.4684395675
274	0.4681051292
275	0.4677874798
276	0.4674686228
277	0.4672748361
278	0.4671029795
279	0.4669440701
280	0.4668048567
281	0.4665564698
282	0.4663430871
283	0.4662112606
284	0.4659532565
285	0.4657363823
286	0.4655617877
287	0.4653669743
288	0.4651961905
289	0.4649364367
290	0.4647439805
291	0.464554316
292	0.4642742049
293	0.4640246874
294	0.46392302
295	0.4637288719
296	0.4634623964
297	0.4631062626
298	0.4629058349
299	0.4628158459

52
.4606710981
