iter	Passed	Remaining
0	293	87800
1	455	67883
2	592	58678
3	680	50379
4	1493	88095
5	1727	84671
6	2399	100424
7	2897	105770
8	3318	107314
9	3339	96850
10	3439	90357
11	4192	100619
12	4785	105642
13	5253	107323
14	5508	104667
15	5753	102133
16	5958	99193
17	6143	96246
18	6293	93082
19	6483	90775
20	6644	88280
21	6825	86253
22	7032	84696
23	7326	84253
24	7418	81606
25	7530	79356
26	7733	78197
27	8053	78233
28	8390	78404
29	8623	77607
30	8836	76678
31	9091	76138
32	9257	74904
33	9448	73921
34	9605	72726
35	9865	72348
36	9948	70715
37	10134	69873
38	10276	68772
39	10445	67896
40	10602	66976
41	10694	65692
42	10847	64835
43	10938	63644
44	11006	62370
45	11176	61711
46	11340	61044
47	11450	60116
48	11561	59223
49	11690	58453
50	11822	57722
51	11912	56815
52	12050	56159
53	12204	55598
54	12352	55024
55	12529	54591
56	12648	53924
57	12793	53378
58	12897	52683
59	13003	52014
60	13145	51506
61	13300	51055
62	13439	50558
63	13585	50095
64	13729	49638
65	13899	49279
66	13994	48668
67	14185	48397
68	14323	47951
69	14454	47494
70	14602	47096
71	14851	47029
72	14958	46513
73	15030	45905
74	15130	45391
75	15203	44810
76	15356	44473
77	15483	44067
78	15600	43641
79	15765	43354
80	15936	43086
81	16073	42730
82	16255	42498
83	16417	42216
84	16629	42062
85	16757	41697
86	16913	41408
87	17002	40961
88	17200	40777
89	17354	40493
90	17604	40433
91	17728	40082
92	17879	39796
93	17987	39419
94	18079	39014
95	18225	38728
96	18429	38569
97	18627	38396
98	18759	38088
99	18967	37934
100	19153	37737
101	19267	37400
102	19412	37129
103	19536	36818
104	19710	36604
105	19885	36393
106	20030	36130
107	20192	35897
108	20349	35659
109	20485	35384
110	20609	35091
111	20699	34745
112	20828	34468
113	20947	34177
114	21114	33967
115	21249	33705
116	21382	33444
117	21484	33136
118	21657	32940
119	21762	32643
120	21925	32435
121	22113	32264
122	22239	32003
123	22369	31750
124	22528	31539
125	22597	31206
126	22794	31051
127	22970	30866
128	23089	30606
129	23248	30402
130	23430	30226
131	23615	30056
132	23837	29931
133	23936	29652
134	24071	29421
135	24296	29298
136	24422	29057
137	24538	28806
138	24736	28651
139	24907	28465
140	25095	28299
141	25263	28109
142	25455	27947
143	25571	27702
144	25783	27561
145	25936	27357
146	26019	27081
147	26196	26904
148	26400	26754
149	26524	26524
150	26639	26286
151	26799	26094
152	26944	25887
153	27125	25716
154	27273	25514
155	27468	25355
156	27629	25166
157	27836	25017
158	27991	24822
159	28142	24624
160	28276	24413
161	28462	24245
162	28551	23997
163	28737	23830
164	28926	23667
165	29025	23430
166	29157	23221
167	29334	23048
168	29453	22830
169	29580	22620
170	29754	22446
171	29987	22316
172	30084	22085
173	30167	21845
174	30298	21641
175	30469	21467
176	30594	21260
177	30754	21078
178	30929	20907
179	31075	20716
180	31222	20527
181	31402	20359
182	31536	20162
183	31672	19967
184	31775	19752
185	31904	19554
186	32025	19352
187	32067	19103
188	32150	18881
189	32188	18635
190	32236	18397
191	32280	18157
192	32321	17919
193	32365	17683
194	32405	17448
195	32441	17214
196	32479	16981
197	32511	16748
198	32548	16519
199	32581	16290
200	32615	16064
201	32649	15839
202	32680	15615
203	32711	15393
204	32744	15174
205	32776	14956
206	32808	14740
207	32839	14525
208	32868	14311
209	32899	14099
210	32930	13890
211	32962	13682
212	32993	13476
213	33024	13271
214	33056	13068
215	33092	12869
216	33124	12669
217	33157	12472
218	33191	12276
219	33223	12081
220	33256	11887
221	33288	11696
222	33320	11505
223	33350	11315
224	33382	11127
225	33415	10941
226	33446	10756
227	33476	10571
228	33509	10389
229	33548	10210
230	33580	10030
231	33613	9852
232	33645	9674
233	33683	9500
234	33714	9325
235	33746	9151
236	33780	8979
237	33813	8808
238	33844	8638
239	33879	8469
240	33912	8302
241	33945	8135
242	33980	7970
243	34011	7806
244	34043	7642
245	34077	7480
246	34109	7319
247	34143	7159
248	34174	6999
249	34206	6841
250	34237	6683
251	34267	6527
252	34296	6371
253	34326	6216
254	34356	6062
255	34386	5910
256	34415	5758
257	34442	5606
258	34475	5457
259	34504	5308
260	34533	5160
261	34559	5012
262	34589	4866
263	34617	4720
264	34647	4576
265	34676	4432
266	34706	4289
267	34734	4147
268	34762	4006
269	34790	3865
270	34822	3726
271	34845	3587
272	34869	3448
273	34895	3311
274	34921	3174
275	34940	3038
276	34959	2902
277	34978	2768
278	34997	2634
279	35017	2501
280	35034	2368
281	35054	2237
282	35075	2106
283	35093	1977
284	35113	1848
285	35132	1719
286	35151	1592
287	35172	1465
288	35192	1339
289	35211	1214
290	35229	1089
291	35249	965
292	35271	842
293	35294	720
294	35314	598
295	35332	477
296	35352	357
297	35372	237
298	35392	118
299	35410	0
