player_id,date,distance_m,hsr_distance_m,acwr,ctl,atl,fatigue_score,sleep_quality,stress,muscle_soreness,inter_acwr_fatigue,th_acwr_fatigue,th_stress_sleep,inter_sleep_sore,injury_risk
P0000,2023-01-01,5496,338,1.4883266491464426,65.63306846042127,87.96206330064578,5,8,5,3,0.0,0,0,0,0
P0001,2023-01-02,5542,309,1.2682313391729134,53.57062804896327,55.66736437073154,2,5,2,2,0.09530598248125988,0,0,-1,0
P0002,2023-01-03,4092,111,1.334956942908061,45.589622830155015,69.054771011224,5,6,3,2,0.0,0,0,0,0
P0003,2023-01-04,5375,276,1.2651417080507343,44.951798930842486,80.81807659598712,6,6,5,2,-0.03485829194926571,0,0,0,0
P0004,2023-01-05,5208,152,0.9715784134157034,52.697002615564124,71.98324866277571,7,7,4,2,-0.6568431731685933,0,0,1,0
P0005,2023-01-06,4280,183,1.3590265780040374,51.63586666787216,58.219946784535814,6,6,3,3,0.05902657800403732,0,0,0,0
P0006,2023-01-07,6030,559,1.3754581991016135,49.26211548118032,72.35506394440525,6,7,4,2,0.07545819910161344,0,0,1,1
P0007,2023-01-08,3804,242,1.4380248759411787,46.54580929035793,78.77470645751583,7,7,5,5,0.27604975188235725,0,0,-2,0
P0008,2023-01-09,4964,475,0.9640043208270079,58.65536732968548,68.14804196583093,5,7,2,2,-0.0,0,0,1,0
P0009,2023-01-10,5356,526,1.3751285915341822,42.958163723495446,58.48884452717435,5,8,4,4,0.0,0,0,-2,0
P0010,2023-01-11,5097,416,1.2659680291444966,47.182363896550996,61.51033084537629,3,6,4,3,0.06806394171100694,0,0,0,0
P0011,2023-01-12,4765,155,1.0964783332474168,46.29827916164236,55.2632043312892,5,7,6,4,-0.0,0,0,-1,0
P0012,2023-01-13,5257,316,1.0052281112446564,50.77145247350781,62.96957446438924,9,8,6,4,-1.1790875550213746,0,0,-2,0
P0013,2023-01-14,3832,275,1.3564477251041276,55.19175901493658,67.8018557665118,8,6,5,6,0.16934317531238263,0,0,0,1
P0014,2023-01-15,4010,155,1.1404983005124094,43.082893398232045,46.36123355428262,6,6,4,2,-0.15950169948759063,0,0,0,0
P0015,2023-01-16,6548,403,1.4188046865176347,61.108383099046165,72.87910413023283,5,8,2,2,0.0,0,0,2,1
P0016,2023-01-17,5259,415,1.1803563503361338,37.9749823719485,58.34507827414622,5,8,5,3,-0.0,0,0,0,1
P0017,2023-01-18,5232,353,1.2338952789190323,68.74339592659345,90.43098701360577,4,7,3,3,0.06610472108096777,0,0,0,1
P0018,2023-01-19,6157,346,1.593597362876593,56.08126323428886,90.83493615546969,8,8,4,2,0.8807920886297786,1,0,2,1
P0019,2023-01-20,4184,204,1.243816830997195,50.98356195904263,77.27142307067928,7,9,4,6,-0.11236633800560991,0,0,-9,0
P0020,2023-01-21,5625,279,1.143990466637838,56.246654864938705,70.42528561236023,6,8,4,2,-0.15600953336216206,0,0,2,1
